,zip,mse,r2,rmse
783,55117,78.63964118399922,0.11840339972784075,8.86789947980914
817,60074,106.10150890976566,-1.031731021676364,10.300558669789016
120,10458,1008.2851913580729,-3.4918038471588444,31.753506756861878
1623,98270,1047.9947005221313,0.08881030747985219,32.37274626166479
1281,90272,82377.34646157145,-51.85116325592693,287.0145405054794
119,10280,102643.5369759338,-196.9730689061675,320.38030054286077
116,10069,116329.3106610875,-37.32189661331018,341.07082939044716
1485,94121,140261.67421569597,-100.62866603129828,374.5152523138356
1279,90265,457015.2634328259,-4.06831756809646,676.0290403768361
